id,body,picture,actor,time,posts_class,control,des_20,des_80,des_20_community_injunctive,des_80_community_injunctive,des_20_injunctive_platform,des_80_injunctive_platform
432,Don't let your children's schools force you to vaccinate them!! That's not consitutional! Vaccinations are not required for school1! spread the word! ,not_required.png,Ataylor,61:08:33,anti-vaccine,0,0,1,0,1,0,1
433,mmm yeah people don't want any e.coli in their food but are more than happy to inject it into their bloodstreams!!,lettuce.png,Sue_S,34:17:23,anti-vaccine,0,0,1,0,1,0,1
434,I am against vaccination because of research. You're getting vacinnated because big pharma made you afraid!,fear2.png,karenM,-21:09:22,anti-vaccine,0,0,1,0,1,0,1
435,"We don't need vaccinations, why? BECAUSE WE HAVE IMMUNE SYSTEMS. Stop vaccinating and take advantage of natural immunity! ",nat_immun.png,jake_turk,63:01:23,anti-vaccine,0,0,1,0,1,0,1
436,I don't vaccinate out of love and peace for my family! Don't let the fear control you.,peace.png,snowbird,11:39:21,anti-vaccine,0,0,1,0,1,0,1
437,I'm sure it's just a coincidence and not a money/power hungry plan by big pharma 🙄 C'mon folks! ,magical. png,difrad,38:24:12,anti-vaccine,0,0,1,0,1,0,1
438,This!! Pro vaxxers manipulate the truth to fit their story. But it's obvious! VACCINES CAUSE AUTISM! ,correlation.png,M.Kapadia92,16:26:21,anti-vaccine,0,0,1,0,1,0,1
439,Increase in fetal death is one of MANY side effects of the flu vaccine. Do not trust the CDC with you or your baby's health!,cdcFailed.png,SnakeCharmer,65:49:23,anti-vaccine,0,0,1,0,1,0,1
,,,,,,0,,0,0,0,0,0
121,"Toured a new house today, think this might be the one! Imagining myself sitting on that porch with a cup of coffee.",new_house.jpg,difrad,-20:56:02,control,1,1,1,1,1,1,1
122,"Lunch for today, yum! Didn't even use a recipe.",lunch.png,M.Kapadia92,-2:30:29,control,1,1,1,1,1,1,1
123,Look at our new dog!! So cute!,dog.png,SnakeCharmer,-7:51:08,control,1,1,1,1,1,1,1
124,only these two could make a target run so much fun 🤣,cats.png,bblueberryy,-9:26:32,control,1,1,1,1,1,1,1
125,Can't believe we got the beach to ourselves today!,,livelaughlove,-14:46:05,control,1,1,1,1,1,1,1
126,Happy birthday to my sleepy kitty 💕,,ancho-n-cayenne,-1:48:08,control,1,1,1,1,1,1,1
127,"Throwback to Alex's first band recital! You've grown up so much my little trumpeteer, so proud of you.",recital.png,fgonzalez,-7:21:28,control,1,1,1,1,1,1,1
128,"Three hour hike, but the view was totally worth it. This picture doesn't even do it justice.",pa_grand_canyon.jpg,sweetpea,-19:48:53,control,1,1,1,1,1,1,1
129, Remembering Christmas '89,80s_xmas.png,Sue_S,-16:36:03,control,1,1,1,1,1,1,1
130, The best bake shop in town!,bakery_shop.jpg,Jcole9,-3:37:14,control,1,1,1,1,1,1,1
131,"Another warm day, hope it chills out soon!",sunset.png,ria_camiii,-7:14:21,control,1,1,0,1,0,1,0
132,Who remembers old Brocatoes ??? Still there but priced higher than before!,brocatos.png,TomM41,-13:01:13,control,1,1,0,1,0,1,0
133,You want to see architectural beauty? Look no further than our lovely churches!,church.png,TimBJenkins,-4:00:04,control,1,1,0,1,0,1,0
134,fishing with my daughter. look at her go!,fishing.png,B.Mike,-8:33:05,control,1,1,0,1,0,1,0
135,"Missing nights like these, can't wait to get back out there. Until then, cheers to you all from here!",bar.png,HP743,-16:42:34,control,1,1,0,1,0,1,0
136,Nothing like a walk with the dog,dogwalk.png,Lisa181818,-16:00:48,control,1,1,0,1,0,1,0
137,Just decorated! The lights make all the difference.,room.png,dana84,-5:51:12,control,1,1,0,1,0,1,0
138,lovely view from up here!,balcony.png,john73,-21:21:56,control,1,1,0,1,0,1,0
139,Look at the photo I just found! Such great memories #tbt,oldpark.png,coachmatthews,-13:03:04,control,1,1,0,1,0,1,0
140,Can't wait to go to one of these shows again!,concert.png,NoahM1121,-17:25:06,control,1,1,0,1,0,1,0
141,Visited my old school today. So nostalgic! Thought it made a nice picture too.,oldschool.png,MannyDL34,-20:25:13,control,1,1,0,1,0,1,0
142,Does anyone have a truck I can borrow to take this to the dump? Or take it off my hands if you've got some use for it.,cabinet.png,mateoV,-8:32:22,control,1,1,0,1,0,1,0
143,Just finished rereading this. One of my favorite series!,book.png,sweetpea,-17:28:59,control,1,1,0,1,0,1,0
144,"Hey everyone! been a while since I posted, lol",selfie.png,localewis,-14:03:39,control,1,1,0,1,0,1,0
145,UGH! I dropped my phone and now it has a huge crack in it. :(,brokephone.png,artisanalways,-11:56:59,control,1,1,0,1,0,1,0
146,"For some reason I just felt like reading this today, it was one of my favorite books as a kid. And it was very refreshing!",book2.png,_aikira_,-7:33:49,control,1,1,0,1,0,1,0
147,"Lovely outing this weekend on my bikeride, enjoyed every minute of it!",bike.png,lee.alexa,-17:32:25,control,1,1,0,1,0,1,0
148,"No wonder this place is a historical site! It was fun to explore, and on such a nice day, too!",history.png,fusionfeast,-18:53:06,control,1,1,0,1,0,1,0
149,"Hard to believe we've been dating for so long, but today marks 2 years!",couple.png,breathe_in,-5:49:25,control,1,1,0,1,0,1,0
150,omg why is this actually me right now... OOF,meme2.png,ria_camiii,-4:35:31,control,1,1,0,1,0,1,0
151,"My son just graduated, so proud!",graduation.png,Sue_S,-13:33:20,control,1,1,0,1,0,1,0
152,"We made it, finally!",trip.png,caffeinated,-11:44:29,control,1,1,0,1,0,1,0
153,"If anyone has seen my dog, pictured below, PLEASE contact me with any information! thank you!",lostdog.png,earthpulse,-3:52:04,control,1,1,0,1,0,1,0
154,"Found a dog on the corner of 4th and main street, collar says ""Champ"", still had a leash on, too.",founddog.png,casssssssssie,-14:47:29,control,1,1,0,1,0,1,0
155,"My dog just gave birth to a liter of puppies, we can't keep all of them so if you would like to adopt, please message me! They'll grow up to be just as cute as their momma!",dog2.png,breethebaker,-20:19:53,control,1,1,0,1,0,1,0
156,"Our pet store will be hosting a kitten adoption this Saturday starting at 11:00am, please come by if you are in need of a new furry friend!",cat2.png,kittycatbakes,-7:13:04,control,1,1,0,1,0,1,0
157,Trying out my new fire pit - toasty smores here we come!,firepit.png,localewis,-4:48:36,control,1,1,0,1,0,1,0
158,"Went out to dinner last Friday with my friends, great time with great food!",restaurant3.png,jupiterpride,-13:18:18,control,1,1,0,1,0,1,0
159,"Loving my ""new"" classic car, its been quite the project, but definitely worth it!",oldcar.png,jackrussellmom,-18:19:09,control,1,1,0,1,0,1,0
160,"Amazing waterfall just in our local state park, and the drive wasn't bad at all. how did I not know about this!",waterfall.png,lavenderrrrrr,-9:40:38,control,1,1,0,1,0,1,0
161,"Took the kids to the science museum downtown today, they had a great time and it was cheap too!",museum.png,cavsforever,-7:10:44,control,1,1,0,1,0,1,0
162,Nothing like hot chicken noodle soup on a cold day!,soup.png,tastyrobot,-19:13:15,control,1,1,0,1,0,1,0
163,"Deep flooding on JFK BLVD after the storm last night, stay  safe and don't try to cross it if you cant handle it!",flood.png,wiz_khaleesi,-13:59:31,control,1,1,0,1,0,1,0
164,My son made it in his school paper so proud!,schoolpaper.jpg,hockeymom101,-1:43:47,control,1,1,0,1,0,1,0
165,"My wife's great grandparents built this house in 1932, her grandparents lived here for many years and now we are too!",old_house.png,tacoguy,-11:01:32,control,1,1,0,1,0,1,0
166,"My son just got his first Highschool job this weekend at the grocery store, look what he got caught doing to help this old gentleman out! Guess a coworker snapped a photo of his good deed!",grocer_kindness.jpg,Ataylor,-20:57:03,control,1,1,0,1,0,1,0
167,Hillsborough High School Choir and Orchestra During  a Christmas Celebration in the 1950’s. Photo from the USF Digital Library.,choir.png,karenM,-1:11:03,control,1,1,0,1,0,1,0
168,HOW MANY OF YOU WENT TO THE RACES DURING THE STATE FAIR LATE 40'S AND EARLY 50'S MY DAD TOOK ME MY VERY FIRST RACES,old_race.png,TomM41,-9:05:49,control,1,1,0,1,0,1,0
169,"Good Morning, cupcakes! We’re kicking off Tender Wisdom Tuesday with this sweet-as-sugar comment from our tender friend Joan. Thank you so much, dear Joan, for the smiles this morning. All of your comments, tender ones, have been extra wonderful lately. Keep ‘em comin’! I love putting YOUR wise words on my Tender Wisdom Tuesday posts!! Have a terrific day, dear hearts! xoxo",nicewords.png,BeardedMatt,-12:22:15,control,1,1,0,1,0,1,0
170,"Anyone else have a resolution??? So far this hasn't been going great, but I guess we've got the rest of the year, right?",craftresolution.png,MedicalRyan,-2:54:52,control,1,1,0,1,0,1,0
171,Who else does this ALL THE TIME? LOL! #thisis50,forgetful.png,Lisa181818,14:42:57,control,1,1,1,1,1,1,1
172,TRUE!!!! People these days need to learn to put the screen down for a minute or two.,cellphone.png,this_jack,11:16:56,control,1,1,1,1,1,1,1
173,10 FUN FACTS - SHARE WITH YOUR FRIENDS TO SPREAD THE FUN,10funfacts.png,PatelS,2:24:18,control,1,1,1,1,1,1,1
174,I really can! LOL who else can relate?,knee.png,DonDonDonna,5:26:54,control,1,1,1,1,1,1,1
175,The best medicine!,laugh.png,EmmaSmith0214,11:01:09,control,1,1,1,1,1,1,1
176,take it or leave it!,takeitorleaveit.png,B.Mike,22:49:59,control,1,1,1,1,1,1,1
177,Just Trust me on this one!,Atmyage.png,mariaann,5:57:20,control,1,1,1,1,1,1,1
178,LOL I'm going to start using this!,memes.png,thisisalfie1998,12:46:00,control,1,1,1,1,1,1,1
179,This is your sign to get off your device and go to sleep! 💤😴,sleep.jpg,KatieeeM,2:45:56,control,1,1,1,1,1,1,1
180,new workout plan!,treadmill.jpg,TimBJenkins,0:14:18,control,1,1,1,1,1,1,1
181,Who misses the simplicity of rotary phones?,rotaryphone.png,fgonzalez,13:13:15,control,1,1,1,1,1,1,1
182,"And now the same thing happened with the new movies. Star Wars is really a cross generational phenomenon, what a great franchise.",starwars.jpg,jiruletheworld,7:53:01,control,1,1,0,1,0,1,0
183,Hysterical ! Credit To Artist.. Remember ~ It's Just A Joke Please,bears.jpg,ayoitsayo,23:28:21,control,1,1,0,1,0,1,0
184,"new years resolution starts, tomorrow lol!",diet.jpg,sweetietooth,5:47:23,control,1,1,0,1,0,1,0
185,"Found this on Pinterest and it was just too funny, had to post it here!",chocccake.jpg,dana84,20:04:49,control,1,1,0,1,0,1,0
186,Be Sure To Wear Some Flowers In Your Hair,flowerdog.jpg,lucyinurdreams,2:40:37,control,1,1,0,1,0,1,0
187,Really starting to think I have an obsession with school supplies...,highlighters.jpeg,chefricky,3:13:02,control,1,1,0,1,0,1,0
188,good morning what a view! loving this vacation,view.jpeg,clayton.myers,20:01:26,control,1,1,0,1,0,1,0
189,Snow much fun to make these with your kids. ☃️,snowmancraft.png,aleeboi,5:07:53,control,1,1,0,1,0,1,0
190,"Look, I held a crab today! It was kind of gross but overall really cool!",crab.jpeg,mewranda,18:16:22,control,1,1,0,1,0,1,0
191,"Decided to have a pancake brunch today with the girls, yum!",pancakes.jpeg,masterchefterry,21:05:43,control,1,1,0,1,0,1,0
192,"Yes, we did get all dressed up just to take cute pictures on the beach, what about it?",beack_walk.jpeg,gwenfromtheblock,5:25:18,control,1,1,0,1,0,1,0
193,"move out day, sad but excited to go!",move.png,fgonzalez,11:17:33,control,1,1,0,1,0,1,0
194,"Grillin up dinner, nobody makes burgers like Don",grillmaster.jpg,JuniperQ,10:02:13,control,1,1,0,1,0,1,0
195,favorite song by far! any other Black Sabbath fans on here?,album1.png,VitaBOCA,15:02:46,control,1,1,0,1,0,1,0
196,"Saturday is cupcake day! tried a new recipe today, totally worth the effort!",cupcakes.jpg,EZpz,0:47:07,control,1,1,0,1,0,1,0
197,"Snapped a candid, hopefully they won't get mad at me for taking this! I had such a fun night with you guys, I missed you!",friends_in_chairs.jpg,masterchefterry,14:55:38,control,1,1,0,1,0,1,0
198,appreciation post for this good boy!! love this dog,black_lab.jpeg,MrShazam,7:40:34,control,1,1,0,1,0,1,0
199,"Just a little art project I've been working on! I tried watercolor pencils for the first time and now I am HOOKED. Never going back to regular watercolors, these are so much easier to use!",art_project.jpeg,csmbx1,21:00:11,control,1,1,0,1,0,1,0
200,"Went pumpkin picking this weekend with my family, i can't wait to carve mine",pumpkins.jpeg,mewranda,3:53:19,control,1,1,0,1,0,1,0
201,"New car, thanks mom! (it's my first car, so I don't need anything fancy, lol)",new_car.jpg,SnakeCharmer,6:00:19,control,1,1,0,1,0,1,0
202,"Long car ride today, but I made it back home before midnight, so I consider that a win.",drive.png,difrad,5:43:57,control,1,1,0,1,0,1,0
203,beautifully restored table check it out!,table.jpg,M.Kapadia92,11:39:40,control,1,1,0,1,0,1,0
204,Want to make money at home as you're own boss? CLICK HERE,pyramid_scheme.jpg,livelaughlove,15:18:40,control,1,1,0,1,0,1,0
205,love this place i could wander around here for hours,art_museum.jpg,bblueberryy,17:47:58,control,1,1,0,1,0,1,0
206,CHECK OUT THIS COOL BIRD I SAW IN OUR BIRD FEEDER TODAY.,bird_feeder.jpeg,ancho-n-cayenne,17:56:11,control,1,1,0,1,0,1,0
207,sent these girlies off to camp today i know they will have a fun week,camp.jpeg,john73,2:00:59,control,1,1,0,1,0,1,0
208,been building this deck for weeks finally done.,deck.jpg,coachmatthews,11:24:44,control,1,1,0,1,0,1,0
209,"Just got accepted for a new job and higher wage! Goodbye cubicle, hello OFFICE!!",cubicle.jpg,NoahM1121,9:22:27,control,1,1,0,1,0,1,0
210,She said yes! Be on the lookout for a save the date coming in the mail!,engagement.jpg,MannyDL34,18:48:45,control,1,1,0,1,0,1,0
211,"OK, maybe I am too obsessed with this game, but look at my new high score! I think I could get it even higher next time, there's a trick to it.",2048.jpg,sweetpea,19:27:29,control,1,1,0,1,0,1,0
212,"visiting my parents over the weekend, good to see them!",elderly_couple.jpg,mateoV,21:12:56,control,1,1,0,1,0,1,0
213,"Hi all, my band will be performing tonight, it would really mean a lot if you guys could come out and support us, thanks!",garage_band.jpg,artisanalways,14:35:53,control,1,1,0,1,0,1,0
214,Looking for someone to help me out with a project this weekend shoot me a dm.,project.jpg,Jcole9,21:36:45,control,1,1,0,1,0,1,0
215,I hate Apple Bee's worst meal of my life,applebees.jpg,_aikira_,0:32:54,control,1,1,0,1,0,1,0
216,"If someone were to make a movie about your life, what actor would you want to play you?",actor_question.jpg,fusionfeast,4:31:17,control,1,1,0,1,0,1,0
217,"I will be teaching a free CPR course this weekend from 12:00pm to 3:00pm, attendence is free so please drop by!",cpr.jpg,lee.alexa,3:40:11,control,1,1,0,1,0,1,0
218,"Its so cold out, but the snow is so pretty, worthy trade if you ask me!",snow.jpg,ria_camiii,3:04:39,control,1,1,0,1,0,1,0
219,"Mom let me practice some of my photography with her today, isn't she a great model? Thanks Mom!",mom_photoshoot.jpg,caffeinated,18:45:25,control,1,1,0,1,0,1,0
220,Our familiy went on a little adventure this weekend! We're a bunch of explorers!,exploring.jpeg,lavenderrrrrr,2:52:06,control,1,1,0,1,0,1,0
221,So glad I bought tickets for the game this weekend! The view is great!,sportsball.jpg,earthpulse,9:07:34,control,1,1,0,1,0,1,0
222,"Happy anniversary, honey! Here's to many more sunsets ❤️",couple_anniversary.jpg,cavsforever,37:16:54,control,1,1,1,1,1,1,1
223,"Look, Claire wanted to match her sister today, so cute!",kiddos.jpg,breethebaker,41:05:24,control,1,1,1,1,1,1,1
224,"My Niece Allison is in the hospital right now, unexpected health problems, please send any well wishes or prayers!",sick_kid.jpg,kittycatbakes,31:51:37,control,1,1,1,1,1,1,1
225,"NEW SONG DROPPING ON SOUNDCLOUD THIS WEEKEND, BE READY!! ",soundcloud.jpg,localewis,24:15:08,control,1,1,1,1,1,1,1
226,"My grandmother shared this AWESOME apple pie recipe with me last week, finally had time over the weekend to try it out, and it was amazing!",apple_pie.jpg,jupiterpride,33:28:23,control,1,1,1,1,1,1,1
227,Do you LOVE jewelry? Do you want to make a few extra bucks doing something you love? Join me and #PureBeadJewels to get new accessories and some extra cash!,jewelry.jpg,breathe_in,30:38:33,control,1,1,1,1,1,1,1
228,"Finally got a new haircut over the weekend, I think it looks nice, does it?",haircut.jpg,jackrussellmom,29:41:03,control,1,1,1,1,1,1,1
229,"Got this great wine for only 20$. Mina Mesa Cabernet Sauvignon, definitely underated!",wine.jpeg,tastyrobot,25:27:47,control,1,1,1,1,1,1,1
230,"They thought the view was pretty, I thought they were all pretter, LOL",taking_photos.jpg,wiz_khaleesi,24:37:52,control,1,1,1,1,1,1,1
231,I love yoga because it heals my body and my soul. It helps me get through the craziness of life and reminds me to take care of myself.,yoga.jpg,karenM,38:57:39,control,1,1,1,1,1,1,1
232,Thank you all for a wonderful party! Always great to see old friends again.,friends_party.jpg,tacoguy,29:40:39,control,1,1,0,1,0,1,0
233,Can't wait for summer with my girls again! I'm so tired of this cold weather!,summer_kids.jpg,Ataylor,43:43:02,control,1,1,0,1,0,1,0
234,Question for book lovers out there! Is there any difference between the book list of Amazon Prime and Kindle Unlimited? I can't seem to find any authors I enjoy on Prime so I'm considering Kindle Unlimited.,kindle.jpg,jake_turk,24:43:51,control,1,1,0,1,0,1,0
235,It's hard to believe Lanie is already a senior in high school! Wow! I am so proud of her!,senior_photo.jpg,hockeymom101,25:43:37,control,1,1,0,1,0,1,0
236,"I may not like waking up early, but I do love playing fetch with Rocko!",fetch.jpg,snowbird,40:40:18,control,1,1,0,1,0,1,0
237,"Huge sale this weekend at my friends boutique, come find something you like!",boutique.jpg,youngcunningham,43:53:43,control,1,1,0,1,0,1,0
238,Anyone have any good movies to watch this weekend? I'm bored an a movie night sounds fun!,netflix.jpg,generic-joe,44:34:39,control,1,1,0,1,0,1,0
239,I Can't Wait for the Weather to get warm agan so I can go Golfing again,golfing.jpg,Smitty12,42:56:32,control,1,1,0,1,0,1,0
240,"Emily has been rocking the shades since '99, LOL #throwback #tbt",throwback.jpeg,BossmanRy,46:03:29,control,1,1,0,1,0,1,0
241,Hopefully these new study materials will help motivate me to actually study...,studying.jpg,HP743,36:58:46,control,1,1,0,1,0,1,0
242,"Look who I found in our yard tonight, OMG it was so close to our house!!",deer.jpg,Marcymaniac,38:55:49,control,1,1,0,1,0,1,0
243,Nothing beats taking a road trip with your best friends 😎 ,roadtrip.jpeg,southerngirlCel,46:34:01,control,1,1,0,1,0,1,0
244,"You know it's going to be a good concert when even the warmup sounds beautiful! I had such a good time tonight, thanks for going with me Mom!",orchestra.jpeg,BossmanRy,37:57:18,control,1,1,0,1,0,1,0
245,Look at these hand sanitizers I found at the store today 😂😂 I thought they were so funny! Too bad I couldn't buy I all of them LOL,hand_sanitizer.jpeg,TomM41,25:32:45,control,1,1,0,1,0,1,0
246,"Ebooks are okay, but nothing beats the library in my book! (get it?)",library.jpeg,BeardedMatt,42:02:32,control,1,1,0,1,0,1,0
247,"Alex and I went and got new-to-us bikes today. The warehouse where they kept them was super messy, but I thought it looked interesting. And I'm excited to ride my new bike!",new_bike.jpeg,Lisa181818,47:30:29,control,1,1,0,1,0,1,0
248,"I saw these GORGEOUS flowers on my walk this morning. I just had to get a picture! Remember to stop and smell the roses. Well, these aren't roses, but you know what I mean!",flowers.jpeg,PatelS,38:16:19,control,1,1,0,1,0,1,0
249,"It's always a blessing to spend time with family, especially when you get good food, too!",family_brunch.jpeg,this_jack,42:49:27,control,1,1,0,1,0,1,0
250,Got up early this morning to go on a hike. Look at those beautiful fall colors!,fall_hike.jpeg,DonDonDonna,30:38:34,control,1,1,0,1,0,1,0
251,Getting my daily dose of Vitamin Sea 🌊🌊,ocean_swim.jpeg,EmmaSmith0214,42:33:56,control,1,1,0,1,0,1,0
252,"I always think the yellow leaves are the prettiest fall leaves, who else agrees with me?",yellow_leaves.jpeg,B.Mike,41:25:31,control,1,1,0,1,0,1,0
253,"that feeling when you have to write in two bars of your music by hand, lol",music.jpeg,mariaann,27:38:12,control,1,1,0,1,0,1,0
254,"Had a lovely coffee date today, thanks for treating me Patrick! It was great to catch up.",coffee_date.jpeg,KatieeeM,29:32:27,control,1,1,0,1,0,1,0
255,Isn't there a famous painting that looks just like this picture I took at the lake...? haha,lily_pads.jpeg,TimBJenkins,33:32:56,control,1,1,0,1,0,1,0
256,"Can you believe this is the first time I've tried putting blueberries in my pancakes?? I normally go for chocolate chips, but this was SO GOOD!",blueberry_panckaes.jpeg,jiruletheworld,33:59:11,control,1,1,0,1,0,1,0
257,"Check out the new project i've been working on! I'm hand crocheting a bunch of old T-shirts together to make a rug. If you have WAY too many old T-shirts laying around, I definitely recommend this craft! It's not as hard as it looks, and you can look up how to do it online!",tshirt_rug.jpeg,dana84,28:30:05,control,1,1,0,1,0,1,0
258,love my city 💕💕 It's good to be home,city.jpg,ayoitsayo,37:54:50,control,1,1,0,1,0,1,0
259,"I was painting all day but I kind of like this photo of my brushes more than the actual painting I was working on, LOL",paintbrushes.jpg,sweetietooth,27:06:02,control,1,1,0,1,0,1,0
260,"We are repainting our bathroom and we are thinking about that top color, the lighter one. What does everyone think?",color_samples.jpg,lucyinurdreams,29:49:03,control,1,1,0,1,0,1,0
261,"I Love going to car shows, check out this classic El Camino I got to see today!",classic_car.jpg,chefricky,37:52:52,control,1,1,0,1,0,1,0
262,I love looking out the window and seeing my kid playing basketball outside! Kids these days spend too much time on their technology.,playing_basketball.jpg,fgonzalez,32:00:48,control,1,1,0,1,0,1,0
263,"Somtimes i look at my friends and think to myself, ""where did I meet these crazy people"" But then I think, ""what would i do without them""",friend_group.png,clayton.myers,32:50:55,control,1,1,0,1,0,1,0
264,Running is even better when you get a view like this.,run_view.jpg,aleeboi,29:16:04,control,1,1,0,1,0,1,0
265,"LOL so true ,this house never stays clean no matter how much work I do!",clean_sign.jpg,mewranda,38:02:06,control,1,1,0,1,0,1,0
266,"Kristen is CRAZY, lol! We always have so much fun together!",wild_fries.jpg,gwenfromtheblock,24:24:01,control,1,1,0,1,0,1,0
267,"went on an adventure with the boys last night, got some cool pics",skater_boi.jpg,masterchefterry,47:21:29,control,1,1,0,1,0,1,0
268,WHO ELSE LOVES ROLLERCOASTERS???,rollercoaster.jpg,difrad,39:47:08,control,1,1,0,1,0,1,0
269,"I'm going to be honest, I didn't take this picture, I found it online HAHA. But I WISH I had these seats! Go Yankees!",yankees.jpg,M.Kapadia92,33:07:40,control,1,1,0,1,0,1,0
270,"The sky was SO pretty tonight. It kinda looks like cotton candy, doesn't it?",pretty_sky.jpeg,SnakeCharmer,34:58:52,control,1,1,0,1,0,1,0
271,silly photoshoots with your best friends are the best thing ever,friends_photoshoot.jpg,livelaughlove,41:55:12,control,1,1,0,1,0,1,0
272,Happy Birthday Ashley! Hope 24 treats you well!,group_picture.jpg,bblueberryy,71:01:45,control,1,1,1,1,1,1,1
273,CHECK IT OUT I got to see a real racing car today! For some reason they wouldn't let me drive it...,racecar.jpg,ancho-n-cayenne,60:02:02,control,1,1,1,1,1,1,1
274,Come see my theater groups production of Singing in the Rain this weekend!,theater.jpg,john73,64:17:05,control,1,1,1,1,1,1,1
275,"Amanda let me do some experimental makeup on her today, and I really liked the result!",makeup_art.jpg,coachmatthews,66:49:44,control,1,1,1,1,1,1,1
276,Start the New Year out right with a new planner!,journal.jpg,NoahM1121,53:09:35,control,1,1,1,1,1,1,1
277,"I know it's really late, but I just got my first passport! I've never traveled out of the country before (crazy, I know)! I'm looking forward to using it 😊",passport.jpg,MannyDL34,49:51:00,control,1,1,1,1,1,1,1
278,Anyone else have WAY too many notebooks? And alot of them are totally blank? I just keep seeing ones that I like and I can't help it!,notebooks.jpg,sweetpea,56:48:58,control,1,1,1,1,1,1,1
279,when this pot comes out... you know youre gonna be eating the exact same thing for the next 3 days!,slow_cooker.jpg,mateoV,54:10:54,control,1,1,1,1,1,1,1
280,got some new yarn to start my next knitting project! Guess what I'm making?,yarn.jpg,artisanalways,66:26:46,control,1,1,1,1,1,1,1
281,"Uh oh, a fork in the road... 😆😆",fork.jpg,Jcole9,61:59:54,control,1,1,1,1,1,1,1
282,We got to meet our new nephew this weekend! Welcome to the family beautiful baby Lydia!,baby.HEIC,_aikira_,64:56:16,control,1,1,1,1,1,1,1
283,"Happy birthday to my beautiful momma! Don't worry, I won't tell everyone how old you're turning 😂",momma.HEIC,fusionfeast,65:37:37,control,1,1,0,1,0,1,0
284,ACTION SHOT!! LOOK AT HIM GO!!,kid_bike.HEIC,lee.alexa,54:57:38,control,1,1,0,1,0,1,0
285,Looks like SOMEONE liked her birthday gift! LOL,appa.jpeg,ria_camiii,51:49:09,control,1,1,0,1,0,1,0
286,SNOW DAY!!!!!!!,snow_day.JPG,caffeinated,64:17:42,control,1,1,0,1,0,1,0
287,winter storm got us like,blizzard.JPG,earthpulse,60:02:08,control,1,1,0,1,0,1,0
288,Just call me Princess Tiana from now on I guess 👑👩‍🍳,chef.JPG,casssssssssie,68:29:00,control,1,1,0,1,0,1,0
289,"nights like this at camp were truly the best, I wish I could go back",camp_night.jpeg,breethebaker,59:40:25,control,1,1,0,1,0,1,0
290,"I want this car sooooo bad, guess for now I'll just have this picture ofi t",blue_car.jpeg,kittycatbakes,50:17:46,control,1,1,0,1,0,1,0
291,I'm calling these my Cookie Monster Cookies! LOL,blue_cookies.jpeg,localewis,68:52:10,control,1,1,0,1,0,1,0
292,The grind never stops! lol this is what I do instead of studying,working_sloth.jpeg,jupiterpride,62:25:59,control,1,1,0,1,0,1,0
293,"Not quite as tasty as a regular cookie, but if these are healthy I feel a lot better about eating so many!",protein_cookie.jpeg,breathe_in,48:59:41,control,1,1,0,1,0,1,0
294,The best milkshakes are the ones that need an extra cup 😋 Thanks for a fun evening guys!,milkshake.jpeg,jackrussellmom,49:01:24,control,1,1,0,1,0,1,0
295,"I finally saved up for a new guitar, but now comes the hard part: PICKING ONE! Thoughts??",guitars.jpeg,lavenderrrrrr,70:56:00,control,1,1,0,1,0,1,0
296,"Luna is exactly my mood right now, look at her face LOL",dog_lounge.jpeg,tastyrobot,64:55:42,control,1,1,0,1,0,1,0
297,"🎵 Let the rain fall down upon her / She's a free and gentle flower, growing wild 🌻",wildflowers.jpeg,wiz_khaleesi,50:40:24,control,1,1,0,1,0,1,0
298,Take me to the lakes where all the poets went to die 🎵,lake.jpeg,Ataylor,61:03:29,control,1,1,0,1,0,1,0
299,"""Staring at the ceiling / Two weeks and I'll be home / Carry the feeling / Through Paris, all through Rome""",window.jpeg,cavsforever,48:04:26,control,1,1,0,1,0,1,0
300,SUSHI!!!!!!,sushi.jpeg,tacoguy,71:43:27,control,1,1,0,1,0,1,0
301,Most important meal of the Day!,breakfast.jpeg,Sue_S,57:39:53,control,1,1,0,1,0,1,0
302,Look at these two best friends! Too cute!,dog_and_cat.jpeg,karenM,50:39:31,control,1,1,0,1,0,1,0
303,"""Without music, life would be a blank to me."" -Jane Austen",record_player.jpeg,jake_turk,48:07:33,control,1,1,0,1,0,1,0
304,"I love this Game! (If I'm winning, LOL)",monopoly.jpeg,snowbird,53:20:54,control,1,1,0,1,0,1,0
305,Look at how clearly you could see the rainbow today! Hope this brightens your day like it brightened mine!,rainbow.jpeg,youngcunningham,66:13:07,control,1,1,0,1,0,1,0
306,"Cleo, what are you DOING??? 😂",cat_sink.jpeg,generic-joe,63:41:55,control,1,1,0,1,0,1,0
307,"Yer a wizard, Harry!!",hogwarts.jpeg,Smitty12,68:18:08,control,1,1,0,1,0,1,0
308,You could say Sam and I both have a sweet tooth! Yum!,sweet_tooth.jpeg,hockeymom101,55:06:19,control,1,1,0,1,0,1,0
309,Love this goofball!!,cat_pic.jpeg,SamTHEMAN,71:24:36,control,1,1,0,1,0,1,0
310,"Today I got some new plants for my fish tank, it's like an underwater jungle in there now!",fish.jpeg,Marcymaniac,49:28:32,control,1,1,0,1,0,1,0
311,Check out these cool flowers I saw today. Does anyone know what type they are? ,flowers_unique.jpeg,HP743,69:52:35,control,1,1,0,1,0,1,0
312,"It's been so long since I've been on a plane, but I'm so excited!",plane.jpeg,southerngirlCel,51:41:55,control,1,1,0,1,0,1,0
